,OBJECTID,INF_NOME,FREGUESIA,GlobalID,Type,longitude,latitude
51,52,Arquivo Histórico Militar,Santa Maria Maior,6b54495f-393b-40c5-95b9-780112366754,Auditorium,-9.12505896991698,38.7129034082556
52,53,Arquivo Fundação Mário Soares,Misericórdia,8dec376d-b593-452c-aeb6-4c174a8e5ca8,Auditorium,-9.15286950012861,38.7127072256908
53,55,Centro HELEN KELLER,Belém,35b79256-0e8d-484d-970a-ed0699a2e055,Auditorium,-9.21173036290192,38.7123980396382
54,56,Biblioteca /Centro de Documentação da Faculdade de Arquitectura de Lisboa,Ajuda,c982481f-7a64-4056-a138-f30a4edeae6b,Auditorium,-9.19439626438461,38.7126850958506
55,57,Biblioteca da Academia das Ciências,Misericórdia,ea6864a2-3127-415d-8da9-6ad2cf3436c7,Auditorium,-9.14993498496998,38.7131551189596
56,58,Academia das Ciências de Lisboa,Misericórdia,13680e70-64eb-4721-9ae7-c974b6c22ac0,Auditorium,-9.14980424712137,38.713162886634
57,59,Biblioteca do Instituto Superior Ciências Sociais e Políticas,Ajuda,746738f3-3276-46fb-a477-00775c97a66c,Auditorium,-9.197983734979,38.7132622199994
58,60,Biblioteca e Arquivo Histórico da Santa Casa da Misericórdia,Misericórdia,31c47b22-2b29-4e3f-bab9-f7d3025ccfd9,Auditorium,-9.14366649924886,38.7145543372201
59,61,Biblioteca e Centro de Documentação - Faculdade de Medicina Veterinária,Ajuda,03ff17f6-8eef-45ad-9e24-229787b4d426,Auditorium,-9.19548086198172,38.7140973686556
60,62,Centro de Documentação Teatro Nacional D. Maria II,Santa Maria Maior,e84a1518-f518-4ef5-8b75-2b8a28ef7a86,Auditorium,-9.1398059971225,38.7148731804296
61,63,Biblioteca Voz do Operário,São Vicente,663429a8-e4d8-4e6a-8384-6d7e79646cc1,Auditorium,-9.12919762250965,38.7156812600226
62,64,Gabinete Informação Documental Arquivo da Inspecção Geral Actidades Culturais,Santa Maria Maior,41bf2dfc-6a98-4e19-ad07-43a85a86d4eb,Auditorium,-9.1425768841782,38.7160119777938
63,65,Biblioteca da Sociedade de Geografia de Lisboa e Museu Etnográfico,Arroios,f3f1955d-5b2d-4b91-9e07-f3ee4467c524,Auditorium,-9.14068818683074,38.7165384624449
64,66,Biblioteca Casa Fernando Pessoa (encerrada até dezembro 2019),Campo de Ourique,fa2448e0-d38d-4195-b8a0-cb5a91e718ea,Auditorium,-9.16244553690677,38.7166406977766
65,67,Biblioteca | Espaço Cultural Cinema Europa,Campo de Ourique,26db65b4-4073-4695-b631-958a78605876,Auditorium,-9.16624513442539,38.7171870436828
66,68,Biblioteca Imprensa Nacional,Santo António,9bfc1def-f906-43ed-899f-f0c15fa9db6f,Auditorium,-9.15182753919634,38.7178597572223
67,69,Arquivo Municipal Fotográfico,Santa Maria Maior,03bf3998-5c3b-4394-9fec-b01a076aef9d,Auditorium,-9.13556291973755,38.7182076850518
68,70,Centro de Documentação e Informação - DGIDC,Campo de Ourique,ff25b18d-9670-4d2a-8353-8afd588859cf,Auditorium,-9.15760743012135,38.7181975104737
69,71,Arquivo Histórico e Biblioteca do Museu de Ciência da Universidade de Lisboa,Santo António,d41c6d8f-7be7-40ea-b7d3-5c3b140757f7,Auditorium,-9.151263001758,38.718315752524
70,72,Biblioteca do Instituto Geofísico Infante Dom Luiz,Santo António,c88d2c11-42f4-4771-9e17-feec88c51b9b,Auditorium,-9.15126325735565,38.7183337660491
71,73,Centro de Documentação da Ilga Portugal,Santa Maria Maior,e2f46356-db08-4bca-9219-5d0a987f47ae,Auditorium,-9.13646482169968,38.7185692579571
72,74,Biblioteca do British Council,Santo António,f25331d7-9056-4d97-890b-4c304629530b,Auditorium,-9.1554687616717,38.718413447957
73,75,Biblioteca da APEC (Associação Promotora do Ensino dos Cegos),Campo de Ourique,75816bfe-8d8d-42e4-bfe2-cdc4008efe0d,Auditorium,-9.16668519585851,38.718854252906
74,76,Centro Cultural Infantil Adolfo Simão Muller,Alcântara,d167906c-067a-4ee1-93df-4e13e5e7ef9a,Auditorium,-9.18732133480944,38.7190368637673
75,77,CRNSA - Centro de Reabilitação Nossa Senhora dos Anjos,São Vicente,37f6879d-82c3-4e2c-a039-3b27ab959c9f,Auditorium,-9.11865921116034,38.7199170452094
76,78,Biblioteca da Faculdade de Ciências Médicas da Universidade Nova de Lisboa,Arroios,bf8b65c8-1774-4119-98ba-5f5488fa68fe,Auditorium,-9.13972454383696,38.7198612057401
77,79,Biblioteca do Instituto Bacteriológico Câmara Pestana,Arroios,14a81c48-7583-4700-b339-5a8364889026,Auditorium,-9.13971342605142,38.7198883242062
78,80,Biblioteca da Associação Protecção aos Diabéticos de Portugal,Santo António,10640e2d-bf2a-4aa9-8ff4-f860535a64b2,Auditorium,-9.1508333987576,38.7199131869703
79,81,Hemeroteca do Instituto Italiano Cultura em Portugal,Santo António,fb9f88b8-f9f4-419f-a646-bd200dc9c086,Auditorium,-9.15253555994636,38.7199433817592
80,82,Centro Documentação da União Europeia,Santo António,a51984ac-21d8-4e79-bdd2-dd5319556309,Auditorium,-9.14687038800054,38.7202466605082
81,83,Biblioteca São Lázaro,Arroios,61a077ac-5a23-415b-a614-13c7a2c300d1,Auditorium,-9.13810453342737,38.7203550308114
82,84,Biblioteca e Arquivo Fotográfico da Cinemateca Portuguesa - Museu do Cinema,Santo António,96f93524-859c-4c8a-bf45-8cd68d370933,Auditorium,-9.14874302327017,38.7208862083019
83,85,Biblioteca do Goethe Institut,Arroios,621452b4-cd45-46c6-80a7-a8b22256efab,Auditorium,-9.14072067903828,38.7211358626321
84,86,Biblioteca do Instituto da Vinha e do Vinho,Santo António,9fc724ed-9d74-4243-bf49-4cc24900d1a1,Auditorium,-9.15000143906712,38.7220552741644
85,87,Biblioteca do Instituto Superior de Serviço Social de Lisboa,Arroios,c0570128-6299-4849-82b6-9bb1562a661f,Auditorium,-9.13873443490877,38.7221829067283
86,88,Biblioteca da APOTEC - Associação Portuguesa de Técnicos de Contas,Santo António,727c21d9-78ae-4f2e-8ba2-837b0eb2b8f3,Auditorium,-9.14585728279215,38.7222911351876
87,89,Biblioteca Sociedade Língua Portuguesa,Santo António,75708403-dc43-45db-8c17-f17fa95037d2,Auditorium,-9.15063662332233,38.7228052779942
88,90,Biblioteca Gonzalo Torrente Ballester - Instituto Cervantes,Santo António,44ca34f6-6f93-417a-8aa2-9dfc43995269,Auditorium,-9.14597877161908,38.7238107195212
89,91,ACAPO - Associação de Cegos e Ambliopes de Portugal,Santo António,8220272e-b17b-4e09-a2d5-c0e58bbe75a2,Auditorium,-9.14741195826711,38.7243293678656
90,92,Biblioteca da Universidade Autónoma de Lisboa,Santo António,7238236b-19fa-4d0f-8e1b-9156ed0102ab,Auditorium,-9.14589545081874,38.7244239702467
91,93,Biblioteca Museu Nacional do Azulejo,Penha de França,887ead07-1a51-4d65-a9ba-b22426bbaf0a,Auditorium,-9.11371272880596,38.724742312066
92,94,Biblioteca e Centro Documentação do Instituto de Conservação da Natureza,Santo António,79763831-9105-4209-b911-b1fdd2560155,Auditorium,-9.14654698494995,38.7249477587749
93,95,Biblioteca do Instituto Geográfico Português,Campolide,f0dc70de-3e3c-488b-b2ea-f70b678c87a1,Auditorium,-9.15869720560538,38.7257338562211
