,id,title,price,num_rooms,total_area,latitude,longitude,extras,Typology,Extra_Rooms,Extra_Rooms_Flag,N_Rooms,Total_N_Rooms,Price,Area_m2,N_Extras,Extras_Flag,Latitude,Longitude,Com elevador,Com garagem,De luxo,Rés do chão,Último andar,Vista para mar,Piscina,Ajuda,Alcântara,Alvalade,Areeiro,Arroios,Avenidas Novas,Beato,Belém,Benfica,Campo de Ourique,Campolide,Carnide,Estrela,Lumiar,Marvila,Misericórdia,Olivais,Parque das Nações,Penha de França,Santa Clara,Santa Maria Maior,Santo António,São Domingos de Benfica,São Vicente,Apartamento,Casa,Duplex,Flat,Loft,Moradia,Palacete,Penthouse,Quinta,stations_within_1.5km,cultural_fac_within_1.5km,edu_within_1.5km
355,355,"Apartamento T3 em Parque das Nações, Lisboa",2.200.000 €,3 quartos,Área bruta 162 m²,"38,7616845","-9,0980778","De luxo, Com elevador, Com garagem",T3,0,0,3,3,2200000,162,3,1,38.7616845,-9.0980778,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,6.0,11.0
357,357,"Apartamento T2 na Rua do Vale de Santo António, São Vicente, Lisboa",399.900 €,2 quartos,Área bruta 60 m²,"38,7177917","-9,1224923", ,T2,0,0,2,2,399900,60,0,0,38.7177917,-9.1224923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5.0,35.0,17.0
358,358,"Moradia T6 em Alvalade, Lisboa",2.500.000 €,6 quartos,Área bruta 552 m²,"38,758247","-9,129844",De luxo,T6,0,0,6,6,2500000,552,1,1,38.758247,-9.129844,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,8.0,22.0
361,361,"Apartamento T1 na Rua das Laranjeiras, São Domingos de Benfica, Lisboa",399.900 €,1 quarto,Área bruta 42 m²,"38,74677","-9,169", ,T1,0,0,1,1,399900,42,0,0,38.74677,-9.169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6.0,30.0,44.0
362,362,"Duplex T2 Duplex na Rua da Praia de Pedrouços, Belém, Lisboa",499.000 €,2 quartos,Área bruta 91 m²,"38,69452","-9,21772", ,T2,0,0,2,2,499000,91,0,0,38.69452,-9.21772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,15.0,12.0
363,363,"Apartamento T3 em Parque das Nações, Lisboa",2.100.000 €,3 quartos,Área bruta 172 m²,"38,7615569428","-9,0983417528","De luxo, Com elevador, Com garagem",T3,0,0,3,3,2100000,172,3,1,38.7615569428,-9.0983417528,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,6.0,11.0
367,367,"Apartamento T2 em Santa Maria Maior, Lisboa",975.000 €,2 quartos,Área bruta 103 m²,"38,710004","-9,136026",Com elevador,T2,0,0,2,2,975000,103,1,1,38.710004,-9.136026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,10.0,76.0,21.0
372,372,"Apartamento T3 na Rua da Junqueira, Belém, Lisboa",2.500.000 €,3 quartos,Área bruta 240 m²,"38,6973433","-9,1988521","De luxo, Piscina, Rés do chão, Com elevador, Com garagem",T3,0,0,3,3,2500000,240,5,1,38.6973433,-9.1988521,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,33.0,20.0
373,373,"Apartamento T2 em São Domingos de Benfica, Lisboa",318.000 €,2 quartos,Área bruta 78 m²,"38,7432591","-9,1776743", ,T2,0,0,2,2,318000,78,0,0,38.7432591,-9.1776743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3.0,15.0,22.0
375,375,"Apartamento T1 em Praça da Armada, Estrela, Lisboa",250.000 €,1 quarto,Área bruta 41 m²,"38,7049487","-9,1707527",Rés do chão,T1,0,0,1,1,250000,41,1,1,38.7049487,-9.1707527,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,28.0,22.0
