,id,title,price,num_rooms,total_area,latitude,longitude,region,extras
464,464,"Apartamento T3 em São Domingos de Benfica, Lisboa",1.150.000 €,3 quartos,Área bruta 174 m²,"38,7505433454","-9,1799737466",São Domingos de Benfica,"Com elevador, Com garagem"
465,465,"Apartamento T2 na Rua do Vale de Santo António, São Vicente, Lisboa",399.900 €,2 quartos,Área bruta 60 m²,"38,7177917","-9,1224923",São Vicente, 
466,466,"Apartamento T2 em Ajuda, Lisboa",250.000 €,2 quartos,Área bruta 65 m²,"38,70978","-9,19379",Ajuda, 
467,467,"Apartamento T4 na Rua do Arsenal, Santa Maria Maior, Lisboa",4.850.000 €,4 quartos,Área bruta 336 m²,"38,707491","-9,1407777",Santa Maria Maior,"De luxo, Com elevador, Com garagem"
468,468,"Apartamento T3 em Alcântara, Lisboa",1.120.000 €,3 quartos,Área bruta 161 m²,"38,7022222","-9,1757009",Alcântara,"Com elevador, Com garagem"
469,469,"Apartamento T1 na Avenida Infante Santo, Estrela, Lisboa",490.000 €,1 quarto,Área bruta 56 m²,"38,70627","-9,16753",Estrela,"Com elevador, Com garagem"
470,470,"Apartamento T2 em Avenidas Novas, Lisboa",682.000 €,2 quartos,Área bruta 89 m²,"38,7372473412","-9,1591536999",Avenidas Novas,Com elevador
471,471,"Apartamento T2 na Rua do Vale de Santo António, São Vicente, Lisboa",399.900 €,2 quartos,Área útil 48 m²,"38,7177917","-9,1224923",São Vicente, 
472,472,"Apartamento T2 em Calçada de Santo André, São Vicente, Lisboa",505.000 €,2 quartos,Área bruta 59 m²,"38,715598","-9,132099",São Vicente, 
473,473,"Apartamento na Rua Castelo Branco Saraiva, Penha de França, Lisboa",224.000 €,Área bruta 72 m²,C.E.: E,"38,72577","-9,1268",Penha de França, 
474,474,"Apartamento T3 em Parque das Nações, Lisboa",2.200.000 €,3 quartos,Área bruta 162 m²,"38,7616845","-9,0980778",Parque das Nações,"De luxo, Com elevador"
475,475,"Moradia T9 na Rua do Sítio Ao Casalinho da Ajuda, Ajuda, Lisboa",595.500 €,9 quartos,Área bruta 48 m²,"38,71151","-9,19231",Ajuda, 
476,476,"Apartamento T2 em São Vicente, Lisboa",399.900 €,2 quartos,Área bruta 60 m²,"38,7177917","-9,1224923",São Vicente, 
