,id,title,price,num_rooms,total_area,latitude,longitude,region,extras
450,450,"Apartamento T2+1 na Avenida Infante Santo, Estrela, Lisboa",780.000 €,2 quartos,Área bruta 116 m²,"38,70627","-9,16753",Estrela,"Com elevador, Com garagem"
451,451,"Apartamento T2 em Avenidas Novas, Lisboa",835.000 €,2 quartos,Área bruta 125 m²,"38,7280137","-9,14513",Avenidas Novas, 
453,453,"Apartamento T2 em Alcântara, Lisboa",775.000 €,2 quartos,Área bruta 110 m²,"38,7022222","-9,1757009",Alcântara,"Com elevador, Com garagem"
454,454,"Apartamento T2+1 em Estrela, Lisboa",950.000 €,2 quartos,Área bruta 116 m²,"38,709107","-9,166792",Estrela,"Piscina, Com elevador, Com garagem"
455,455,"Apartamento T3 em Alcântara, Lisboa",1.090.000 €,3 quartos,Área bruta 161 m²,"38,7022222","-9,1757009",Alcântara,"Com elevador, Com garagem"
456,456,"Apartamento T1 em Estrela, Lisboa",560.000 €,1 quarto,Área bruta 58 m²,"38,709107","-9,166792",Estrela,"Piscina, Com elevador, Com garagem"
457,457,"Apartamento T3 em Penha de França, Lisboa",570.000 €,3 quartos,Área bruta 118 m²,"38,7335649975","-9,1304755211",Penha de França,Rés do chão
458,458,"Apartamento T1 em Estrela, Lisboa",480.000 €,1 quarto,Área bruta 60 m²,"38,709107","-9,166792",Estrela,"Piscina, Com elevador, Com garagem"
459,459,"Apartamento T2+1 em Estrela, Lisboa",880.000 €,2 quartos,Área bruta 116 m²,"38,709107","-9,166792",Estrela,"Piscina, Com elevador, Com garagem"
460,460,"Apartamento T2 em Estrela, Lisboa",1.180.000 €,2 quartos,Área bruta 118 m²,"38,7094416","-9,1599073",Estrela,"Rés do chão, Com elevador"
461,461,"Apartamento T1 na Rua Francisco Pedro Curado, Penha de França, Lisboa",299.000 €,1 quarto,Área bruta 103 m²,"38,72737","-9,12606",Penha de França,"Com elevador, Com garagem"
462,462,"Apartamento T2 em Benfica, Lisboa",200.000 €,2 quartos,Área bruta 53 m²,"38,7463655","-9,2058271",Benfica,Rés do chão
463,463,"Apartamento T2 na Rua António Nobre, São Domingos de Benfica, Lisboa",349.900 €,2 quartos,Área bruta 78 m²,"38,74657","-9,17989",São Domingos de Benfica, 
464,464,"Apartamento T3 em Parque das Nações, Lisboa",2.300.000 €,3 quartos,Área bruta 172 m²,"38,7616513568","-9,098379508",Parque das Nações,"De luxo, Com elevador, Com garagem"
465,465,"Apartamento T2 na Rua do Vale de Santo António, Penha de França, Lisboa",299.900 €,2 quartos,Área bruta 66 m²,"38,72655","-9,126289",Penha de França,Rés do chão
466,466,"Apartamento T2 na Rua António Nobre, São Domingos de Benfica, Lisboa",349.900 €,2 quartos,Área bruta 67 m²,"38,74657","-9,17989",São Domingos de Benfica, 
467,467,"Apartamento T1 na Rua das Laranjeiras, São Domingos de Benfica, Lisboa",349.900 €,1 quarto,Área bruta 44 m²,"38,74677","-9,169",São Domingos de Benfica,"Rés do chão, Com elevador"
468,468,"Apartamento T2+1 em Estrela, Lisboa",810.000 €,2 quartos,Área bruta 116 m²,"38,709107","-9,166792",Estrela,"Piscina, Com elevador, Com garagem"
469,469,"Apartamento T2+1 na Avenida Infante Santo, Estrela, Lisboa",880.000 €,2 quartos,Área bruta 116 m²,"38,70627","-9,16753",Estrela,"Com elevador, Com garagem"
470,470,"Apartamento T2 em Estrela, Lisboa",745.000 €,2 quartos,Área bruta 121 m²,"38,709107","-9,166792",Estrela,"Piscina, Com elevador, Com garagem"
471,471,"Apartamento T3 em Avenidas Novas, Lisboa",893.000 €,3 quartos,Área bruta 138 m²,"38,74049","-9,150863",Avenidas Novas,Com elevador
472,472,"Apartamento T2+1 em Estrela, Lisboa",845.000 €,2 quartos,Área bruta 116 m²,"38,709107","-9,166792",Estrela,"Piscina, Com elevador, Com garagem"
473,473,"Apartamento T2 em São Vicente, Lisboa",399.900 €,2 quartos,Área útil 70 m²,"38,71847","-9,129592",São Vicente, 
474,474,"Apartamento T3 na Avenida João Crisóstomo, Avenidas Novas, Lisboa",1.011.600 €,3 quartos,Área bruta 137 m²,"38,73559","-9,15133",Avenidas Novas,"Com elevador, Com garagem"
475,475,"Apartamento T4 na Rua Dom Jorge da Costa, Belém, Lisboa",2.050.000 €,4 quartos,Área bruta 287 m²,"38,7104896","-9,2077422",Belém,"De luxo, Com elevador, Com garagem"
477,477,"Apartamento T3 em Alcântara, Lisboa",1.120.000 €,3 quartos,Área bruta 161 m²,"38,7022222","-9,1757009",Alcântara,"Com elevador, Com garagem"
478,478,"Apartamento T2+1 na Avenida Infante Santo, Estrela, Lisboa",780.000 €,2 quartos,Área bruta 116 m²,"38,70627","-9,16753",Estrela,"Com elevador, Com garagem"
479,479,"Apartamento T1 em Estrada de Benfica, São Domingos de Benfica, Lisboa",279.900 €,1 quarto,Área bruta 38 m²,"38,74487","-9,17992",São Domingos de Benfica, 
480,480,"Apartamento T2+1 em Estrela, Lisboa",810.000 €,2 quartos,Área bruta 116 m²,"38,709107","-9,166792",Estrela,"Piscina, Com elevador, Com garagem"
481,481,"Apartamento T3 em Santa Maria Maior, Lisboa",550.000 €,3 quartos,Área bruta 67 m²,"38,7109855706","-9,1367679834",Santa Maria Maior, 
482,482,"Apartamento T3 em Avenidas Novas, Lisboa",1.038.000 €,3 quartos,Área bruta 138 m²,"38,74049","-9,150863",Avenidas Novas,Com elevador
483,483,"Apartamento T1 em Avenidas Novas, Lisboa",454.000 €,1 quarto,Área bruta 55 m²,"38,7372473412","-9,1591536999",Avenidas Novas,Com elevador
484,484,"Apartamento T2 em Santa Maria Maior, Lisboa",775.000 €,2 quartos,Área bruta 109 m²,"38,710004","-9,136026",Santa Maria Maior,Com elevador
485,485,"Apartamento T2+1 na Avenida Infante Santo, Estrela, Lisboa",985.000 €,2 quartos,Área bruta 116 m²,"38,70627","-9,16753",Estrela,"Com elevador, Com garagem"
486,486,"Apartamento T2 na Rua do Vale de Santo António, São Vicente, Lisboa",399.900 €,2 quartos,Área útil 48 m²,"38,7177917","-9,1224923",São Vicente, 
487,487,"Apartamento T3 em Alcântara, Lisboa",1.060.000 €,3 quartos,Área bruta 144 m²,"38,7022222","-9,1757009",Alcântara,"Com elevador, Com garagem"
488,488,"Apartamento T2 na Rua Aviador Plácido de Abreu, Campolide, Lisboa",850.000 €,2 quartos,Área bruta 101 m²,"38,7254380628","-9,1610713632",Campolide, 
489,489,"Apartamento T1 em Estrela, Lisboa",560.000 €,1 quarto,Área bruta 56 m²,"38,709107","-9,166792",Estrela,"Piscina, Com elevador, Com garagem"
490,490,"Apartamento T2+1 na Avenida Infante Santo, Estrela, Lisboa",880.000 €,2 quartos,Área bruta 116 m²,"38,70627","-9,16753",Estrela,"Com elevador, Com garagem"
491,491,"Apartamento T4 em Alcântara, Lisboa",2.450.000 €,4 quartos,Área bruta 282 m²,"38,7022222","-9,1757009",Alcântara,"De luxo, Piscina, Com elevador, Com garagem"
