,Name,Area,GlobalID,geometry,Access,Stage
30,Escola Básica de Santo Amaro,Alcântara,92dc1d98-de9a-4b9e-9a72-c58c12009a11,POINT (-9.18535787303158 38.7036889650246),Private,First
31,Escola Básica do Castelo,Santa Maria Maior,7a63f8e3-b98e-4f45-b17c-c4ad9e9ccb39,POINT (-9.13281926501618 38.7132210156893),Private,First
32,Escola Básica Engenheiro Duarte Pacheco,Beato,03efacef-70ad-4d42-8a6e-c0117e01e23c,POINT (-9.12073685331583 38.7351291551251),Private,First
33,Escola Básica Actor Vale,Penha de França,5c295daf-e59b-49ae-a227-850fa32b03f8,POINT (-9.13013711467873 38.7352714508015),Private,First
34,Escola Básica do Bairro do Armador,Marvila,482006ce-2bd8-49b6-820f-fc093dbf9b66,POINT (-9.1206568524002 38.7446038306865),Private,First
35,Escola Básica Rainha Santa Isabel,Campo de Ourique,f1274516-5d4f-4a16-a953-4dc0251451d8,POINT (-9.1555767618125 38.716883406964),Private,First
36,Escola Básica Engenheiro Ressano Garcia,Campo de Ourique,4631f8d1-e135-49f0-b5cf-6ce1f9370e50,POINT (-9.16562056983248 38.7137358844673),Private,First
37,Escola Básica Professor Oliveira Marques,Penha de França,abe44853-67f4-4114-9de9-f836da7dc154,POINT (-9.11648283070746 38.7218908709401),Private,First
38,Escola Básica Rosa Lobato Faria,São Vicente,0d30e193-c364-4b1c-a119-b51a1b7d4f2c,POINT (-9.12020321983801 38.7204671725733),Private,First
39,Escola Básica Frei Luis de Sousa,São Domingos de Benfica,695f2d25-d089-429a-8913-0e5fb11d8d34,POINT (-9.17193672473235 38.7409263473436),Private,First
40,Escola Básica António Nobre,São Domingos de Benfica,3b0a0e0f-129a-488e-a82a-e5621fed051c,POINT (-9.17798492794034 38.7460095508708),Private,First
41,Escola Básica de Laranjeiras,São Domingos de Benfica,a4ebcaaf-4d99-4f57-b072-50cccca46d48,POINT (-9.17355782052701 38.7553685486147),Private,First
42,Escola Básica do Condado,Marvila,f5387a33-ace2-4f1f-9ae6-e1d28ba981c4,POINT (-9.1117396428509 38.7450323805168),Private,First
43,Escola Básica do Beato,Beato,e1f9c83a-dcbf-4c39-beb5-e0c8f8dd0dc7,POINT (-9.10691011524315 38.7320472635217),Private,First
44,Escola Básica do Bairro Madre de Deus,Beato,ee547886-7114-432e-a0ec-111870c0964b,POINT (-9.11501162467813 38.7333954944145),Private,First
45,Escola Básica de Santo Condestável,Campo de Ourique,a2e601ff-ed17-4be6-a577-8be315c043b6,POINT (-9.1676672925982 38.7199884173376),Private,First
